1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.999959004233226478e-01,6.218723761192856579e-04,1.251556712180237766e-03,2.499203291537438910e-03
9.999836098979396626e-01,1.237479177090385421e-03,2.506203619521501624e-03,4.996751363539606201e-03
9.999631413181148121e-01,1.846805291230998493e-03,3.763905705203076605e-03,7.492551585832578701e-03
9.999345083597392936e-01,2.449836114629433924e-03,5.024627725811629808e-03,9.986511432688072870e-03
9.998977254784597868e-01,3.046557553475045393e-03,6.288334216492567387e-03,1.247853849045966676e-02
9.998528079077029229e-01,3.636956026324562972e-03,7.554989496127974442e-03,1.496854046519552513e-02
9.997997716565898418e-01,4.221018466303896530e-03,8.824557672540077682e-03,1.745642519022619354e-02
9.997386335077463881e-01,4.798732323244984596e-03,1.009700264771918807e-02,1.994210063372610364e-02
9.996694110150072810e-01,5.370085565757290111e-03,1.137228812307507220e-02,2.242547490624743206e-02
9.995921225010144795e-01,5.935066683233568806e-03,1.265037760471067994e-02,2.490645626822496697e-02
9.995067870547109656e-01,6.493664687789522071e-03,1.393123440871715801e-02,2.738495313745056836e-02
9.994134245287319418e-01,7.045869116137005138e-03,1.521482166648911727e-02,2.986087409651597829e-02
9.993120555366874491e-01,7.591670031390409384e-03,1.650110233005898722e-02,3.233412790022251876e-02
9.992027014503471749e-01,8.131058024805952467e-03,1.779003917744950702e-02,3.480462348295654956e-02
9.990853843967184567e-01,8.664024217453540622e-03,1.908159481804309193e-02,3.727226996602905906e-02
9.989601272550236999e-01,9.190560261820877874e-03,2.037573169796722330e-02,3.973697666497848918e-02
9.988269536535752113e-01,9.710658343349640870e-03,2.167241210549447281e-02,4.219865309683506344e-02
9.986858879665497790e-01,1.022431118190334463e-02,2.297159817645637661e-02,4.465720898734572980e-02
9.985369553106608898e-01,1.073151203316675961e-02,2.427325189966978228e-02,4.711255427815814328e-02
9.983801815417346903e-01,1.123225468997659203e-02,2.557733512237479398e-02,4.956459913396255718e-02
9.982155932511811436e-01,1.172653348358323501e-02,2.688380955568300465e-02,5.201325394959033233e-02
9.980432177623723700e-01,1.221434328484341351e-02,2.819263678003512338e-02,5.445842935706801669e-02
9.978630831269181822e-01,1.269567950534349586e-02,2.950377825066669707e-02,5.690003623262528121e-02
9.976752181208482506e-01,1.317053809845340415e-02,3.081719530308092703e-02,5.933798570365608760e-02
9.974796522406934596e-01,1.363891556031084432e-02,3.213284915852742535e-02,6.177218915563140872e-02
9.972764156994776696e-01,1.410080893073589227e-02,3.345070092948584928e-02,6.420255823896266201e-02
9.970655394226075607e-01,1.455621579407565501e-02,3.477071162515327218e-02,6.662900487581442655e-02
9.968470550436727695e-01,1.500513427997904325e-02,3.609284215693406295e-02,6.905144126686521555e-02
9.966209949001512136e-01,1.544756306410149937e-02,3.741705334393140292e-02,7.146977989801572839e-02
9.963873920290218233e-01,1.588350136873968241e-02,3.874330591843919841e-02,7.388393354704260452e-02
9.961462801622854579e-01,1.631294896339596096e-02,4.007156053143306335e-02,7.629381529019707564e-02
9.958976937223947834e-01,1.673590616527281458e-02,4.140177775805978927e-02,7.869933850874759329e-02
9.956416678175941115e-01,1.715237383969702226e-02,4.273391810312357486e-02,8.110041689546453048e-02
